"","X","Y","TP","TN","NTU","Sample","Flow"
"1335",13788.5833333333,1,0.01,0.5,9.72,"R",3.91
"1336",13815.5833333333,1,0.03,0.4,12,"R",2.56
"1337",13841.15625,1,0.06,1.7,83.1,"A",16.69
"1338",13841.28125,1,0.06,1.1,67.7,"A",15.97
"1339",13841.40625,1,0.08,0.9,50.7,"A",15.05
"1340",13841.53125,1,0.06,0.8,51.9,"A",15.24
"1341",13841.65625,1,0.06,0.7,39.1,"A",15.7
"1342",13841.78125,1,0.06,0.6,70.8,"A",16.22
"1343",13841.90625,1,0.12,1,212,"A",16.08
"1344",13842.03125,1,0.09,1.2,412,"A",15.37
"1345",13842.15625,1,0.08,1.1,311,"A",14.42
"1346",13842.28125,1,0.07,1.1,354,"A",13.4
"1347",13842.5833333333,1,0.04,0.8,48.3,"R",12.12
"1348",13843.9583333333,1,NA,0.8,48.9,"A",11.15
"1349",13846.9166666667,1,NA,NA,138,"A",13.48
"1350",13847.0416666667,1,0.04,0.6,27,"A",15.76
"1351",13847.1666666667,1,0.03,0.5,26.4,"A",14.28
"1352",13847.2916666667,1,0.03,0.5,29.6,"A",13.05
"1353",13847.4166666667,1,0.04,0.6,32.5,"A",13.15
